idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1442,72.125,-13.605660214371973,-5.728470214759819,-15,0.6613615090867568,-1.013882564978308,0,0.14920275992388002,0.1256394107624507,0,0,70,0,0,0
1443,72.17500000000001,-13.572405786990288,-5.778849320818428,-15,0.6688125472157507,-1.0012632617081876,0,0.14883808432072224,0.12674434819995956,0,0,70,0,0,0
1444,72.225,-13.53877926524791,-5.828594710927279,-15,0.6762452495109116,-0.9885341586382134,0,0.1484693282462979,0.12783538669140895,0,0,70,0,0,0
1445,72.275,-13.5047815710329,-5.8777009299438,-15,0.6836594122009568,-0.9756966516579729,0,0.14809650181024084,0.1289124065921341,0,0,70,0,0,0
1446,72.325,-13.470413636409235,-5.926162592817676,-15,0.6910548320228674,-0.9627521485447783,0,0.14771961523377633,0.12997528979476547,0,0,70,0,0,0
1447,72.375,-13.43567640359119,-5.973974385181476,-15,0.6984313062274753,-0.9497020688092631,0,0.14733867884944005,0.13102391974218264,0,0,70,0,0,0
1448,72.42500000000001,-13.400570824917562,-6.02113106393336,-15,0.7057886325850118,-0.9365478435397354,0,0.14695370310079559,0.13205818144029455,0,0,70,0,0,0
1449,72.475,-13.36509786282552,-6.0676274578121046,-15,0.7131266093906593,-0.9232909152452289,0,0.1465646985421475,0.13307796147065107,0,0,70,0,0,0
1450,72.525,-13.32925848982423,-6.1134584679641595,-15,0.7204450354700782,-0.9099327376973204,0,0.1461716758382521,0.13408314800288015,0,0,70,0,0,0
1451,72.575,-13.293053688468222,-6.15861906850278,-15,0.7277437101849183,-0.8964747757707155,0,0.14577464576402563,0.13507363080695084,0,0,70,0,0,0
1452,72.625,-13.256484451330397,-6.203104307059219,-15,0.7350224334383277,-0.8829185052825931,0,0.14537361920424793,0.13604930126526227,0,0,70,0,0,0
1453,72.67500000000001,-13.21955178097488,-6.246909305325748,-15,0.7422810056804292,-0.8692654128307814,0,0.14496860715326484,0.1370100523845535,0,0,70,0,0,0
1454,72.725,-13.182256689929481,-6.290029259590679,-15,0.7495192279137994,-0.8555169956307218,0,0.14455962071468628,0.1379557788076378,0,0,70,0,0,0
1455,72.775,-13.144600200657957,-6.33245944126511,-15,0.7567369016989195,-0.841674761351291,0,0.14414667110108204,0.13888637682495553,0,0,70,0,0,0
1456,72.825,-13.106583345531982,-6.374195197401474,-15,0.7639338291596166,-0.8277402279494657,0,0.14372976963367437,0.1398017443859472,0,0,70,0,0,0
1457,72.875,-13.068207166802836,-6.415231951203805,-15,0.7711098129884912,-0.8137149235038563,0,0.1433089277420275,0.14070178111024476,0,0,70,0,0,0
1458,72.92500000000001,-13.029472716572867,-6.455565202529581,-15,0.7782646564523168,-0.7996003860471558,0,0.14288415696373477,0.14158638829867834,0,0,70,0,0,0
1459,72.975,-12.990381056766578,-6.49519052838329,-15,0.7853981633974485,-0.785398163397448,0,0.14245546894410138,0.1424554689441014,0,0,70,0,0,0
1460,73.025,-12.950933259101577,-6.53410358340142,-15,0.7925101382551892,-0.7711098129884907,0,0.14202287543582606,0.14330892774202753,0,0,70,0,0,0
1461,73.075,-12.91113040505916,-6.572300100328973,-15,0.7996003860471564,-0.7567369016989216,0,0.14158638829867834,0.1441466711010819,0,0,70,0,0,0
1462,73.125,-12.870973585854669,-6.609775890487442,-15,0.8066687123906259,-0.7422810056804289,0,0.14114601949917346,0.14496860715326487,0,0,70,0,0,0
1463,73.17500000000001,-12.830463902407596,-6.646526844234113,-15,0.8137149235038592,-0.7277437101849167,0,0.14070178111024462,0.1457746457640257,0,0,70,0,0,0
1464,73.225,-12.789602465311381,-6.682548931412761,-15,0.8207388262114182,-0.7131266093906589,0,0.14025368531091167,0.1465646985421475,0,0,70,0,0,0
1465,73.275,-12.748390394802954,-6.717838201795602,-15,0.8277402279494649,-0.6984313062274725,0,0.13980174438594725,0.1473386788494402,0,0,70,0,0,0
1466,73.325,-12.70682882073206,-6.7523907855164484,-15,0.8347189367710298,-0.6836594122009578,0,0.13934597072554025,0.1480965018102408,0,0,70,0,0,0
1467,73.375,-12.664918882530225,-6.7862028934951475,-15,0.8416747613512903,-0.668812547215749,0,0.13888637682495558,0.1488380843207223,0,0,70,0,0,0
1468,73.42500000000001,-12.622661729179594,-6.819270817853013,-15,0.8486075109927982,-0.653892339397908,0,0.13842297528419237,0.14956334505800517,0,0,70,0,0,0
1469,73.475,-12.580058519181364,-6.851590932319504,-15,0.8555169956307208,-0.6389004249163553,0,0.13795577880763785,0.15027220448907672,0,0,70,0,0,0
1470,73.525,-12.537110420524046,-6.883159692629865,-15,0.8624030258380497,-0.623838447803452,0,0.1374848002037193,0.1509645848795124,0,0,70,0,0,0
1471,73.575,-12.493818610651486,-6.913973636913758,-15,0.8692654128307828,-0.6087080597747317,0,0.13701005238455338,0.1516404103019996,0,0,70,0,0,0
1472,73.625,-12.450184276430509,-6.944029386074962,-15,0.8761039684731171,-0.5935109200477409,0,0.1365315483655912,0.15229960664466505,0,0,70,0,0,0
1473,73.67500000000001,-12.406208614118427,-6.973323644161885,-15,0.8829185052825945,-0.5782486951601066,0,0.13604930126526216,0.15294210161920138,0,0,70,0,0,0
1474,73.725,-12.361892829330237,-7.001853198729012,-15,0.8897088364352468,-0.5629230587867776,0,0.1355633243046141,0.15356782476879435,0,0,70,0,0,0
1475,73.775,-12.317238137005559,-7.029614921189188,-15,0.8964747757707161,-0.5475356915564836,0,0.13507363080695084,0.15417670747584938,0,0,70,0,0,0
1476,73.825,-12.272245761375352,-7.05660576715669,-15,0.9032161377973557,-0.5320882808674466,0,0.13458023419746712,0.15476868296951604,0,0,70,0,0,0
1477,73.875,-12.22691693592831,-7.08282277678111,-15,0.9099327376973219,-0.5165825207023201,0,0.13408314800288007,0.15534368633301063,0,0,70,0,0,0
1478,73.92500000000001,-12.181252903377093,-7.108263075071894,-15,0.916624391331634,-0.5010201114424453,0,0.13358238585105897,0.1559016545107345,0,0,70,0,0,0
1479,73.975,-12.135254915624213,-7.1329238722136505,-15,0.923290915245228,-0.4854027596813673,0,0.13307796147065112,0.15644252631518932,0,0,70,0,0,0
1480,74.025,-12.088924233727733,-7.1568024638720775,-15,0.9299321266719847,-0.46973217803769557,0,0.1325698886907056,0.1569662424336867,0,0,70,0,0,0
1481,74.075,-12.042262127866717,-7.179896231490504,-15,0.9365478435397357,-0.45401008496730433,0,0.1320581814402945,0.1574727454348524,0,0,70,0,0,0
1482,74.125,-11.99526987730636,-7.202202642577072,-15,0.9431378844752624,-0.4382382045748676,0,0.13154285374813052,0.1579619797749246,0,0,70,0,0,0
1483,74.17500000000001,-11.94794877036295,-7.223719250982433,-15,0.9497020688092636,-0.4224182664248038,0,0.13102391974218264,0.15843389180384476,0,0,70,0,0,0
1484,74.225,-11.900300104368528,-7.244443697168012,-15,0.9562402165813103,-0.4065520053516025,0,0.13050139364928862,0.15888842977114104,0,0,70,0,0,0
1485,74.275,-11.852325185635351,-7.264373708464736,-15,0.9627521485447788,-0.39064116126958964,0,0.12997528979476544,0.15932554383160308,0,0,70,0,0,0
1486,74.325,-11.804025329420059,-7.2835070993222715,-15,0.9692376861717625,-0.37468747898212057,0,0.12944562260201609,0.15974518605074817,0,0,70,0,0,0
1487,74.375,-11.75540185988759,-7.3018417715487045,-15,0.9756966516579745,-0.3586927079902343,0,0.128912406592134,0.16014731041007824,0,0,70,0,0,0
1488,74.42500000000001,-11.706456110074951,-7.319375714540604,-15,0.9821288679276089,-0.3426586023008229,0,0.1283756563835057,0.16053187281212558,0,0,70,0,0,0
1489,74.475,-11.65718942185457,-7.33610700550354,-15,0.9885341586382115,-0.326586920234255,0,0.1278353866914091,0.16089883108528935,0,0,70,0,0,0
1490,74.525,-11.607603145897587,-7.352033809662916,-15,0.9949123481855029,-0.3104794242315779,0,0.12729161232761055,0.1612481449884597,0,0,70,0,0,0
